Study	cluster	gene	hgnc_symbol	gene_biotype	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	Responder_CPM	Non_responder_CPM	ensembl_core
Pozniak	malignant cell	ENSG00000181634	TNFSF15	protein_coding	0.8663148232464263	0.5553106528039882	0.023	0.022	1	2	2	ENSG00000181634
Pozniak	malignant cell	ENSG00000102218	RP2	protein_coding	0.866332632338258	0.5505566839928777	0.066	0.064	1	5	4	ENSG00000102218
Pozniak	malignant cell	ENSG00000176563	CNTD1	protein_coding	0.8663869579333041	-0.5243239467238494	0.023	0.025	1	2	1	ENSG00000176563
Pozniak	malignant cell	ENSG00000107175	CREB3	protein_coding	0.866844611410419	0.3868223304455911	0.31	0.336	1	36	25	ENSG00000107175
Pozniak	malignant cell	ENSG00000173011	TADA2B	protein_coding	0.8668716975191925	0.30523241446995364	0.147	0.146	1	11	9	ENSG00000173011
Pozniak	malignant cell	ENSG00000126368	NR1D1	protein_coding	0.8670923147258257	0.4306064585051308	0.143	0.152	1	13	10	ENSG00000126368
Pozniak	malignant cell	ENSG00000177646	ACAD9	protein_coding	0.8682391712785757	0.6735268245474828	0.24	0.263	1	23	18	ENSG00000177646
Pozniak	malignant cell	ENSG00000137770	CTDSPL2	protein_coding	0.8684405996332827	0.25478442320887096	0.26	0.269	1	26	20	ENSG00000137770
Pozniak	malignant cell	ENSG00000116198	CEP104	protein_coding	0.8684757017239536	0.20847757742376483	0.333	0.364	1	30	29	ENSG00000116198
Pozniak	malignant cell	ENSG00000178691	SUZ12	protein_coding	0.868614299648863	0.08031676089054429	0.516	0.578	1	82	70	ENSG00000178691
Pozniak	malignant cell	ENSG00000169783	LINGO1	protein_coding	0.8687710820425465	0.33273832421136484	0.163	0.176	1	16	14	ENSG00000169783
Pozniak	malignant cell	ENSG00000100605	ITPK1	protein_coding	0.8688708076278163	0.46811526954452054	0.349	0.405	1	39	33	ENSG00000100605
Pozniak	malignant cell	ENSG00000125753	VASP	protein_coding	0.8692470842422402	0.16501917436560332	0.341	0.364	1	41	31	ENSG00000125753
Pozniak	malignant cell	ENSG00000113732	ATP6V0E1	protein_coding	0.8693179455127269	-0.028330600900549063	0.806	0.878	1	250	260	ENSG00000113732
Pozniak	malignant cell	ENSG00000254901	BORCS8	protein_coding	0.8694898553075464	0.5070274688590795	0.217	0.226	1	21	16	ENSG00000254901
Pozniak	malignant cell	ENSG00000197063	MAFG	protein_coding	0.8694975822728677	0.21533308725884637	0.364	0.389	1	40	33	ENSG00000197063
Pozniak	malignant cell	ENSG00000167674	HDGFL2	protein_coding	0.8696265432515157	0.4299003931846055	0.357	0.413	1	39	31	ENSG00000167674
Pozniak	malignant cell	ENSG00000173040	EVC2	protein_coding	0.8702647582844778	0.608357462233394	0.081	0.087	1	7	5	ENSG00000173040
Pozniak	malignant cell	ENSG00000259956	RBM15B	protein_coding	0.8708288601430009	0.36839090836125044	0.267	0.294	1	24	20	ENSG00000259956
Pozniak	malignant cell	ENSG00000237190	CDKN2AIPNL	protein_coding	0.8714851291058904	0.39625180740341404	0.295	0.336	1	32	26	ENSG00000237190
Pozniak	malignant cell	ENSG00000176834	VSIG10	protein_coding	0.8715067704436793	0.14241461583577664	0.089	0.094	1	7	6	ENSG00000176834
Pozniak	malignant cell	ENSG00000133858	ZFC3H1	protein_coding	0.8719298670412116	0.23883206379365252	0.318	0.337	1	32	25	ENSG00000133858
Pozniak	malignant cell	ENSG00000100697	DICER1	protein_coding	0.8719913199037334	0.27465843561025394	0.55	0.664	1	111	86	ENSG00000100697
Pozniak	malignant cell	ENSG00000235706	DICER1-AS1	lncRNA	0.8720854893214989	0.2122399682127094	0.112	0.12	1	10	7	ENSG00000235706
Pozniak	malignant cell	ENSG00000155256	ZFYVE27	protein_coding	0.8725582376289185	0.6433256843200281	0.159	0.165	1	14	10	ENSG00000155256
Pozniak	malignant cell	ENSG00000148180	GSN	protein_coding	0.8725864758655593	-0.11876263914691565	0.876	0.887	1	320	365	ENSG00000148180
Pozniak	malignant cell	ENSG00000114529	C3orf52	protein_coding	0.8732081111852915	-0.03119923304867278	0.047	0.049	1	4	3	ENSG00000114529
Pozniak	malignant cell	ENSG00000065135	GNAI3	protein_coding	0.873680838159763	0.047153937577826044	0.523	0.574	1	88	72	ENSG00000065135
Pozniak	malignant cell	ENSG00000071575	TRIB2	protein_coding	0.8736854394829666	-6.421505699085728e-4	0.674	0.732	1	141	143	ENSG00000071575
Pozniak	malignant cell	ENSG00000280670	CCDC163	protein_coding	0.8737603871947843	0.12926945552213898	0.047	0.044	1	4	2	ENSG00000280670
Pozniak	malignant cell	ENSG00000100380	ST13	protein_coding	0.8737690333731297	-0.19534901011195505	0.95	0.945	1	492	511	ENSG00000100380
Pozniak	malignant cell	ENSG00000064547	LPAR2	protein_coding	0.8740994534305397	0.36109551023912	0.058	0.061	1	4	4	ENSG00000064547
Pozniak	malignant cell	ENSG00000134186	PRPF38B	protein_coding	0.8746590809249719	-0.017422547535809352	0.589	0.651	1	98	97	ENSG00000134186
Pozniak	malignant cell	ENSG00000204172	AGAP9	protein_coding	0.8747070019079187	0.5169084589741431	0.027	0.029	1	2	2	ENSG00000204172
Pozniak	malignant cell	ENSG00000118855	MFSD1	protein_coding	0.8751355225237258	0.2687423705946279	0.434	0.494	1	59	45	ENSG00000118855
Pozniak	malignant cell	ENSG00000143147	GPR161	protein_coding	0.8753935362931766	0.06356347711075827	0.349	0.358	1	46	42	ENSG00000143147
Pozniak	malignant cell	ENSG00000109762	SNX25	protein_coding	0.8758394608014032	-0.08614826163206768	0.151	0.156	1	13	10	ENSG00000109762
Pozniak	malignant cell	ENSG00000072110	ACTN1	protein_coding	0.8758916128901004	0.22090674638127172	0.624	0.723	1	168	147	ENSG00000072110
Pozniak	malignant cell	ENSG00000168685	IL7R	protein_coding	0.8759234598767325	0.9260886618860598	0.012	0.013	1	5	1	ENSG00000168685
